id;placed_date;status;code;invoice_id;customer_id
1;2020-07-02T13:17:16;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-07-02T12:54:01;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-07-01T22:11:09;COMPLETED;real-time;88753;3
4;2020-07-02T06:15:18;COMPLETED;Square Regional;82542;4
5;2020-07-02T12:06:26;PENDING;maroon Decentralized Bike;98183;5
6;2020-07-02T04:30:08;COMPLETED;program;52549;6
7;2020-07-02T18:46:03;COMPLETED;target;30578;7
8;2020-07-02T16:54:09;CANCELLED;input;43284;8
9;2020-07-02T17:20:11;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-07-02T18:25:16;COMPLETED;National lavender;4674;10
